0	0	6259
0	1	3814
0	1	4298
0	1	2045
0	1	3573
0	1	3009
0	1	7183
0	1	835
0	1	2378
0	1	2613
0	1	1000
0	1	7393
0	1	898
0	1	630
0	1	2426
0	1	4431
0	1	251
0	1	4313
0	1	5217
0	1	6167
0	2	2311
1	1	630
1	2	1634
2	1	2378
2	2	4913
3	0	5704
3	1	3814
3	1	835
3	1	2613
3	1	2426
3	1	723
3	1	251
3	1	4313
3	1	2858
3	1	898
3	1	630
3	1	4298
3	1	7646
3	1	7183
3	1	1000
3	1	7393
3	1	3573
3	1	2045
3	1	3009
3	1	2378
3	1	5217
3	1	6167
3	2	4604
4	1	2378
4	2	5524
5	1	2378
5	2	7229
6	1	2378
6	2	6553
7	1	3814
7	2	3506
8	1	3814
8	2	3309
9	1	2378
9	2	2291
10	1	3814
10	2	2203
11	0	3308
11	1	3814
11	1	835
11	1	2613
11	1	2426
11	1	723
11	1	251
11	1	4313
11	1	2858
11	1	898
11	1	630
11	1	4298
11	1	7646
11	1	7183
11	1	7393
11	1	3573
11	1	2045
11	1	3009
11	1	2378
11	1	5217
11	1	6167
11	2	6329
12	0	3308
12	1	7646
12	1	2045
12	1	3009
12	1	7183
12	1	2378
12	1	2613
12	1	898
12	2	6411
13	0	3308
13	1	2045
13	1	3009
13	1	2378
13	1	898
13	1	630
13	1	4313
13	2	1843
14	0	1517
14	1	7646
14	1	3814
14	1	2045
14	1	1234
14	1	7183
14	1	2378
14	1	2613
14	1	7393
14	1	898
14	1	2426
14	1	4298
14	1	6167
14	2	6053
15	1	2378
15	2	4698
16	0	1517
16	1	3814
16	1	835
16	1	2613
16	1	4431
16	1	2426
16	1	251
16	1	4313
16	1	1234
16	1	2858
16	1	898
16	1	4298
16	1	7646
16	1	7183
16	1	1000
16	1	7393
16	1	3573
16	1	2045
16	1	3009
16	1	2378
16	1	5217
16	1	6167
16	2	4731
17	1	2378
17	2	4772
18	0	1517
18	1	3814
18	1	4298
18	1	2045
18	1	2858
18	1	3009
18	1	7183
18	1	2378
18	1	2613
18	1	5217
18	1	7393
18	1	898
18	1	2426
18	1	723
18	1	251
18	1	4313
18	1	6167
18	2	3961
19	1	2378
19	2	2769
20	1	2378
20	2	7859
21	1	3009
21	2	1704
22	0	605
22	1	3814
22	1	2045
22	1	3573
22	1	2858
22	1	3009
22	1	7183
22	1	835
22	1	2378
22	1	2613
22	1	1000
22	1	7393
22	1	898
22	1	630
22	1	2426
22	1	5217
22	1	251
22	1	4313
22	1	6167
22	2	6789
23	1	3814
23	1	2045
23	1	2378
23	1	2613
23	1	5217
23	1	898
23	1	4431
23	1	4298
23	2	2499
24	0	5704
24	1	3814
24	1	4298
24	1	2045
24	1	3573
24	1	3009
24	1	7183
24	1	835
24	1	2378
24	1	2613
24	1	5217
24	1	7393
24	1	898
24	1	4915
24	1	2426
24	1	630
24	1	251
24	1	4313
24	1	6167
24	2	2458
25	1	2378
25	2	5887
26	0	4255
26	1	7646
26	1	3814
26	1	2045
26	1	3573
26	1	2858
26	1	3009
26	1	7183
26	1	835
26	1	2378
26	1	2613
26	1	5217
26	1	7393
26	1	898
26	1	630
26	1	2426
26	1	723
26	1	251
26	1	4313
26	1	6167
26	2	2056
27	0	4255
27	1	3814
27	1	835
27	1	2613
27	1	4431
27	1	2426
27	1	723
27	1	251
27	1	4313
27	1	2858
27	1	898
27	1	630
27	1	4298
27	1	7646
27	1	7054
27	1	7183
27	1	1000
27	1	7393
27	1	3573
27	1	2045
27	1	3009
27	1	2378
27	1	5217
27	1	6167
27	2	6631
28	0	4255
28	1	2045
28	1	3009
28	1	7183
28	1	2378
28	1	2613
28	1	7393
28	1	898
28	1	2426
28	1	6167
28	2	3532
29	0	4255
29	1	2045
29	1	3009
29	1	7183
29	1	2378
29	1	2613
29	1	5217
29	1	7393
29	1	898
29	1	630
29	1	2426
29	1	251
29	1	4313
29	1	6167
29	2	6139
30	1	2378
30	2	1277
31	1	5217
31	2	58
32	1	7646
32	2	35
33	1	2378
33	2	6458
34	1	2045
34	1	2858
34	1	3009
34	1	7183
34	1	835
34	1	2378
34	1	2613
34	1	7393
34	1	898
34	1	630
34	1	2426
34	1	251
34	2	5863
35	1	2378
35	2	2227
36	1	3814
36	1	4298
36	1	2045
36	1	3009
36	1	7183
36	1	835
36	1	2378
36	1	2613
36	1	7393
36	1	898
36	1	630
36	1	2426
36	1	251
36	1	4313
36	1	6167
